,part_number,description,quantity,price,roi
2587,286974102,mw softshell jkt-s,2,179.99,-100.0
2588,286974114,mw softshell jkt-3xl,1,179.99,-100.0
2589,2869770-s,christmas bauble-each,6,2.49,-100.0
2590,2869777,mens socks - pack of 2,2,39.99,7.73
2591,287538,voltage regul/rectifier suz ki,1,134.99,-100.0
2592,2876049,"ignition coil kit, twin efi",1,374.99,-0.01
2593,2879409,"oil-5w-30,quart",11,20.99,-95.78
2594,2879410,"oil-5w30,gallon (4)",8,76.99,-100.0
2595,2879440,"oil-trans 75w90,quart",12,17.99,-100.0
2596,2879530-266,"kit-tip,exhaust,blt slash,blk",2,449.99,-100.0
2597,2879532-156,"kit-tip,exhaust,fish tail,chr",1,294.99,-100.0
2598,2879532-266,"kit-tip,exhaust,fish tail,blk",1,289.99,-57.14
2599,2879542-01,"kit-backrest,rider,blk",1,554.99,-100.0
2600,2879542-02,"kit-backrest,rider,blk/studs",1,514.99,-100.0
2601,2879542-vba,"k-backrest,rider,vinyl",3,554.99,-57.14
2602,2879550-156,"kit-bumper,rear,chr",1,244.99,-100.0
2603,2879551-156,"kit-bumper,front,chr",2,294.99,-100.0
2604,2879572-156,"kit-peg,hwy,vint 1,chr",5,449.99,-100.0
2605,2879572-156-p,"kit-peg,hwy,vint 1,chr",1,409.99,-100.0
2606,2879572-266,"kit-peg,hwy,vint 1,blk",3,424.99,-85.71
2607,2879577-01,"kit-bag,windshield,blk",1,259.99,-100.0
2608,2879577-05,"kit-bag,windshield,tan",1,294.99,-100.0
2609,2879578-02,"kit-seat,low,ridr,htd,blk/stud",1,874.99,-100.0
2610,2879582-156,"kit-highway bar,rear,chr",2,449.99,-100.0
2611,2879582-266,"kit-highway bar,rear,blk",4,474.99,-89.29
2612,2879604-156,"kit-rail,rider seat,chr",2,359.99,-100.0
2613,2879606-01,"kit-pad,floorboard,vint 1",2,294.99,-78.57
2614,2879666-vba,"k-pad,backrest,pass,vinyl",2,384.99,-78.57
2615,2879740,"kit-mount,csr,bag/backrest",4,119.99,-100.0
2616,2879768-266-t,"kit-exhaust,stage1,50,csr,blk",1,350.99,-100.0
2617,2879769-156,"kit-exhaust,stage1,50,tour,chr",1,964.99,-100.0
2618,2879999-01,"kit-wrap,grip,blk",3,104.99,-85.71
2619,2880015,"oil-indian,fork,quart (6)",7,25.99,-92.96
2620,2880032-156,"kit-armrest,chr",1,514.99,-100.0
2621,2880041-01,"kit-pad,armrest,blk",2,129.99,-100.0
2622,2880103-156,"kit-shifter,heal,chr",2,234.99,-100.0
2623,2880103-463,"kit-shifter,heal,fblk",6,234.99,-85.71
2624,2880132-156,"kit-mirror,indian,chrome",2,279.99,-100.0
2625,2880137,kit-cup holder,3,129.99,-100.0
2626,2880141-156,"kit-screw,seat bolt,chr",3,79.99,-100.0
2627,2880142-01,"kit-pouch,tank,blk",1,154.99,-100.0
2628,2880187,"oil-15w60,indian,quart",46,25.99,-81.79
2629,2880191,"kit-oil change,scout",55,117.99,-71.34
2630,2880222-02,"kit-windshield,flare,tint",1,424.99,-100.0
2631,2880232-156,"kit-backrest,pass,n,chr",2,579.99,-100.0
2632,2880236-156,"kit-windshield,low,n,chr",1,679.99,-100.0
2633,2880237-156,"kit-windshield,mid,n,chr",1,679.99,-14.28
2634,2880238-650,"kit-cntrls,ext rch,n,ti slv",4,259.99,-100.0
2635,2880239-626,"kit-controls,rr,n,blk",5,259.99,-100.0
2636,2880239-650,"kit-controls,rr,n,ti slv",3,259.99,-100.0
2637,2880240-01,"kit-seat,drvr,ext r,n,blk",1,294.99,-100.0
2638,2880241-05,"kit-seat,drvr,rr,n,tan",1,359.99,-100.0
2639,2880288,"kit-mnt,pass flrbrd,adj",2,154.99,-78.57
2640,2880289,"kit-lights,led",2,554.99,-100.0
2641,2880293,"kit-floorboard,pass",5,279.99,-100.0
2642,2880294,"kit-fitted bag,saddlebag",1,234.99,-100.0
2643,2880619-01,"kit-pouch,tank,n,blk",2,234.99,-100.0
2644,2880654-156,"kit-airbox,indn,50 st,pac,chr",2,705.99,-78.5
2645,2880654-266,"kit-airbox,indn,50 st,pac,blk",5,729.99,-91.43
2646,2880667-626,"kit-footpeg,pass,jtblk",4,294.99,-100.0
2647,2880668,kit-oil cooler,2,424.99,-100.0
2648,2880671-156,"kit-tip,exhaust,straight,chr",1,359.99,-100.0
2649,2880671-266,"kit-tip,exhaust,straight,blk",1,359.99,-100.0
2650,2880728-156,"kit-peg,shifter,toe,chr",1,129.99,-100.0
2651,2880728-468,"kit-peg,shifter,toe,blkand",3,129.99,-100.0
2652,2880729-468,"kit-peg,shifter,heel,blkand",3,79.99,-85.71
2653,2880750-266,"kit-bumper,frt,blk",2,289.99,-100.0
2654,2880752-266,"kit-rail,drvr seat,blk",1,359.99,-100.0
2655,2880768,"kit-antenna,short",2,51.99,-78.57
2656,2880827-01,"kit-pad,backrest,n,blk",1,254.99,-57.14
2657,2880827-05,"kit-pad,backrest,n,tan",1,284.99,-100.0
2658,2880835-156,"kit-windshield,tall,n,chr",2,679.99,-100.0
2659,2880866,"kit-footrest,hwy bar",1,104.99,-100.0
2660,2880901-01,"kit-bag,windshield,ms,blk",2,279.99,-100.0
2661,2880901-05,"kit-bag,windshield,ms,tan",2,279.99,-100.0
2662,2880905-01,"k-seat,bobber,blk",1,559.99,-100.0
2663,2880905-05,"k-seat,bobber,tan",1,559.99,-100.0
2664,2880916,"kit-winscreen,low",2,964.99,-100.0
2665,2880917-156,"k-rail,saddlebag,chr",1,579.99,-14.28
2666,2880920,"kit-clutch mount,ram",1,154.99,-57.14
2667,2880943-05,"kit-wrap,hwy bar,tan",2,229.99,-100.0
2668,2880944-01,"kit-insert,tool roll,blk",2,104.99,-100.0
2669,2880944-05,"kit-insert,tool roll,tan",1,104.99,-100.0
2670,2880955-156,"k-rack,pass backrest,chr",3,359.99,-85.71
2671,2880955-266,"k-rack,pass backrest,blk",2,359.99,-35.71
2672,2880966,"anti-freeze,indian,1 qt",57,12.99,-89.62
2673,2881013-463,"k-mirror,ind,fl blk",2,259.99,-100.0
2674,2881125,"k-lower,hwy bar,soft",3,244.99,-85.71
2675,2881166,"k-spool,n,lnr",15,234.99,-91.43
2676,2881187,"k-scr,seat bolt",2,64.99,-100.0
2677,2881476,"k-hardware,ws",1,79.99,-57.14
2678,2881676,"k-st2,ind 111 cams 50st",1,809.99,-100.0
2679,2881756-156,"k-highway bar,n,chr",2,449.99,-100.0
2680,2881771-156,"k-sidestand,extended,chr",2,259.99,-100.0
2681,2881771-463,"k-sidestand,extended,fblk",1,259.99,-100.0
2682,2881779-156,k-accy-airbox-indian-chrome,2,709.99,-78.57
2683,2881779-521,k-accy-airbox-indian-black,3,709.99,-71.43
2684,2881788,"k-plug,backrest",2,39.99,-100.0
2685,2881848-156,"k-clamp,foot rest,drvr,chr",2,259.99,-100.0
2686,2881911,carbon clean-indian 12oz (12),29,20.99,-98.18
2687,2881963-266,"k-rail,seat,solo,n,blk",1,279.99,-100.0
