part_number,normalized_seasonal_score,sales_sep,sales_oct,supplier_name,price,sales_last_jan,sales_feb,description,quantity_ordered_ytd,sales_last_apr,margin,quantity,sales_last_nov,sales_jan,sales_last_oct,sales_last_jul,sales_last_sep,sales_last_dec,sales_mar,special_orders_ytd,sales_may,sales_jun,sales_jul,sales_aug,sales_dec,negative_on_hand,sales_last_mar,sales_last_aug,sales_last_may,months_no_sale,sales_last_jun,sales_last_feb,sales_apr,sales_nov,cost_per_unit,total_cost,margin_percentage,sales_revenue,cogs,gross_profit,roi,rolling_3m_sales,rolling_12m_sales,12m_days_supply,3m_days_supply,1m_days_supply,turnover,3m_turnover,sell_through_rate,days_of_inventory_outstanding,order_to_sales_ratio,sales_trend,sales_volatility,recent_sales_trend,demand
938230128,0.38493584124719166,0,0,ducati,0.99,0,0,o-ring,0,0,0.85,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0.14,4.76,85.86,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1680,0.0,0.0,0.0,0.0,0.0
61911361a,0.0195793930488498,0,0,ducati,60.99,0,0,rear master cylinder-cpu line,0,0,6.16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,54.83,164.49,10.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
73710091b,-0.18607730632545633,0,0,ducati,165.99,0,0,cinghia z=95 - gd161 conf.,0,0,74.71,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,2,0,0,2,2,0,0,0,91.28,0.0,45.01,663.96,365.12,298.84,81.85,4,4,0,0,0,7.698777034761127,1.3997776426838417,0.0,47,0.0,0.0,2.1354156,-2.0,0.3038164049341756
2880012,-0.6780813174493155,0,0,polaris acceptance,20.99,0,0,"oil-20w-40,indian,quart, semi",0,0,7.26,48,5,0,0,15,9,6,7,0,0,0,0,0,0,0,12,10,8,3,7,5,14,0,13.73,659.04,34.59,440.79,288.33,152.46,52.88,0,51,343,0,0,0.2712404927540322,6.006875,51.52,1345,0.0,-0.22807017,1.0100323,0.0,0.9401514239656905
t1290023,0.14946858914423908,0,0,triumph motorcycles,14.99,3,0,cr9ek plug,0,3,7.87,38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,4,4,3,0,0,7.12,270.56,52.5,44.97,21.36,23.61,110.53,0,6,2311,0,0,0.061242043695166,0.5621052631578948,13.64,5959,0.0,-0.15964912,1.358323,0.0,0.635676059268657
286288314,-0.0032107491560038463,0,0,polaris acceptance,46.99,0,0,mw wt america's first tee 3xl,0,0,35.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,11.75,11.75,74.99,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0
46517691335,-0.005561180668557561,0,0,bmw group canada,180.99,0,0,chain tensioning pulley,0,0,65.79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,115.2,115.2,36.35,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
16112347604,0.0016053745780019242,0,0,bmw group canada,18.99,0,0,gasket,0,0,6.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,12.0,12.0,36.81,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
96880461a,0.026745948295409293,0,0,ducati,399.99,0,0,comfort rider seat 1209,0,0,130.78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,269.21,269.21,32.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,2160,0.0,0.0,0.0,0.0,0.0
920-4112,-0.038843887984872864,0,0,island bmw,12.99,0,0,chain guard,0,0,4.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,8.28,8.28,36.26,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,420,0.0,-0.00877193,4.358899,0.0,0.0
